Date,Load
1/1/2011,15.0978
1/2/2011,13.3386
1/3/2011,16.2738
1/4/2011,14.9892
1/5/2011,15.2058
1/6/2011,14.8308
1/7/2011,14.484
1/8/2011,13.9812
1/9/2011,16.9602
1/10/2011,16.2582
1/11/2011,16.7562
1/12/2011,16.7322
1/13/2011,15.9888
1/14/2011,15.7986
1/15/2011,15.5454
1/16/2011,15.549
1/17/2011,16.1532
1/18/2011,15.8268
1/19/2011,16.2834
1/20/2011,15.672
1/21/2011,14.979
1/22/2011,16.2534
1/23/2011,15.9084
1/24/2011,15.4032
1/25/2011,17.196
1/26/2011,16.4262
1/27/2011,15.8904
1/28/2011,15.345
1/29/2011,17.0376
1/30/2011,16.1106
1/31/2011,14.8068
2/1/2011,12.1224
2/2/2011,9.3456
2/3/2011,14.4336
2/4/2011,17.4216
2/5/2011,15.657
2/6/2011,15.3144
2/7/2011,15.3354
2/8/2011,15.2904
2/9/2011,15.9636
2/10/2011,17.5746
2/11/2011,15.5178
2/12/2011,16.7076
2/13/2011,16.5894
2/14/2011,16.2492
2/15/2011,15.9486
2/16/2011,15.8496
2/17/2011,15.801
2/18/2011,16.8372
2/19/2011,14.9748
2/20/2011,15.8466
2/21/2011,17.0892
2/22/2011,15.2394
2/23/2011,16.3254
2/24/2011,15.3678
2/25/2011,15.1614
2/26/2011,15.921
2/27/2011,15.3048
2/28/2011,15.816
3/1/2011,16.3242
3/2/2011,15.825
3/3/2011,15.4284
3/4/2011,16.2486
3/5/2011,14.7426
3/6/2011,16.5618
3/7/2011,14.8548
3/8/2011,15.0858
3/9/2011,15.8112
3/10/2011,15.669
3/11/2011,15.216
3/12/2011,14.8902
3/13/2011,13.9578
3/14/2011,13.0206
3/15/2011,12.3936
3/16/2011,14.5854
3/17/2011,12.2148
3/18/2011,13.8024
3/19/2011,13.5426
3/20/2011,13.8492
3/21/2011,15.2754
3/22/2011,15.6666
3/23/2011,15.6996
3/24/2011,15.7386
3/25/2011,15.6294
3/26/2011,13.7544
3/27/2011,15.132
3/28/2011,15.1932
3/29/2011,15.513
3/30/2011,15.711
3/31/2011,15.3678
4/1/2011,16.6068
4/2/2011,14.6028
4/3/2011,15.141
4/4/2011,16.833
4/5/2011,14.5854
4/6/2011,15.6528
4/7/2011,16.254
4/8/2011,15.4152
4/9/2011,15.4938
4/10/2011,15.7356
4/11/2011,15.882
4/12/2011,15.8028
4/13/2011,15.525
4/14/2011,15.336
4/15/2011,16.3992
4/16/2011,16.4892
4/17/2011,16.2678
4/18/2011,15.678
4/19/2011,16.8102
4/20/2011,14.4054
4/21/2011,14.6718
4/22/2011,14.9448
4/23/2011,16.1742
4/24/2011,13.1562
4/25/2011,16.584
4/26/2011,14.388
4/27/2011,19.5432
4/28/2011,14.8758
4/29/2011,15.9822
4/30/2011,13.4976
5/1/2011,15.5268
5/2/2011,13.0296
5/3/2011,14.9574
5/4/2011,14.2206
5/5/2011,15.1068
5/6/2011,14.5242
5/7/2011,14.7426
5/8/2011,13.2768
5/9/2011,14.6232
5/10/2011,13.833
5/11/2011,16.143
5/12/2011,14.8176
5/13/2011,14.5692
